sigma_mem_y,f_mem,sigma_mem,E_mem,nu_mem,sigma_edg,sigma_sup,sigma_mem_max
10691.55544,0.268766809,3220.880252,620830.9652,0.399471684,325851.2356,322000.7623,4204.095289
10869.83324,0.511186066,4603.96942,559505.7732,0.398297346,266690.7454,366814.4073,5578.199692
9629.396012,0.316206687,4020.464157,664063.6027,0.393333018,350103.3302,308367.205,4688.80962
12188.81817,0.457326457,4282.8024,622714.4041,0.411229718,313489.8978,327438.7028,5219.28126
11108.29223,0.261861346,4097.033516,623600.5452,0.382459045,334400.5907,474471.1279,4986.756515
12556.88492,0.394691851,4272.3956,739908.9811,0.404602957,361245.8602,342636.5866,5170.713979
10140.4084,0.634317999,3640.363853,587362.5713,0.397059979,311180.2056,339850.365,5551.214338
8948.700086,0.446237008,4641.914624,603036.3462,0.41188248,333123.089,358528.9496,5491.728951
9966.308171,0.322989286,4161.24453,576722.0689,0.402409201,437041.2619,314583.2617,5066.205629
11548.08705,0.399798426,2702.905327,608924.5682,0.413445329,342469.8874,329954.7569,4592.745507
10950.00635,0.328027905,4938.730408,565672.279,0.416401223,390030.2698,363321.8395,5427.622156
11836.07659,0.235004048,3704.010733,493867.9415,0.397841209,335895.0206,377413.2992,4449.506982
10337.325,0.487695521,5462.582752,659487.9235,0.399855231,316065.4802,413137.7036,6196.855922
11202.50716,0.469173621,3549.241604,695237.0493,0.394437177,344745.931,293581.7484,4959.841144
14087.24773,0.311963266,4072.377541,723485.334,0.40268038,356538.9113,419461.1467,5056.938133
10648.10237,0.252433011,3495.519446,583019.9464,0.41656647,347936.497,454672.0684,4743.691281
10053.29696,0.559115506,4961.864506,647471.1285,0.399110304,380896.2548,398876.4374,6219.805038
11583.92875,0.462197229,2933.408499,601011.5337,0.413023683,310058.1502,425302.1475,4989.843288
9904.14613,0.35354666,4060.844631,563039.2005,0.384598413,335304.6074,559153.2528,5482.778512
12416.19475,0.42417053,4497.168397,530027.4815,0.392741791,341833.772,335393.9526,5325.213958
10277.32458,0.498412204,3939.913095,492626.6058,0.386564584,380755.4855,427753.3247,5638.867704
10231.67067,0.440958223,3506.587044,618604.0711,0.417627776,407854.6429,367866.9906,5313.367218
